Airport,Latitudine,Longitudine
SMX,34.8966731,-120.4439372
ACV,40.9700701,-124.1058055
CEC,41.7811514,-124.2387748
CIC,39.7993406,-121.8536002
PMD,34.6361058,-118.0675913
EKO,40.8277772,-115.7850413
IYK,35.6586,117.8281
OXR,34.1985076,-119.2054306
IPL,32.8346328,-115.5702838
PIH,42.912035,-112.57433
BTM,45.9534196,-112.5016969
HLN,46.605737,-111.9586085
BLI,48.7977442,-122.5301985
RFD,42.2024292,-89.094836
COD,44.5207,-109.0245
SLE,44.9067896,-122.9931143
LWS,46.3790047,-117.0101373
BIS,46.7742031,-100.7571163
CDC,37.7044,-113.0984
YKM,46.5707345,-120.5343559
SJU,18.4373826,-65.9853437
STT,18.3324141,-64.9706989
ANC,61.1972704,-149.9929264
STX,17.6996654,-64.7998614
MLB,28.0953098,-80.6365575
PHF,37.1298425,-76.5017171
PFN,30.2121,-85.6828
FAY,34.9934695,-78.8843647
AGS,33.3721198,-81.9725016
GNV,29.6854044,-82.2725433
ABY,31.5326546,-84.1875532
DHN,31.3140103,-85.4481844
EVV,38.0475573,-87.5268093
FNT,42.9665415,-83.7436234
OAJ,34.8348246,-77.6013376
SWF,41.4937698,-74.0985721
EWN,35.0754283,-77.0323871
MEI,32.3341195,-88.7442024
GTR,33.4504,-88.5914
LYH,37.331073,-79.191993
HHH,32.2270482,-80.6985703
EYW,24.5561,-81.7587
VLD,30.789965,-83.278686
CSG,32.5188068,-84.9384186
ACY,39.4424539,-74.5675022
FSM,35.3427544,-94.3553964
MCN,32.70147,-83.645913
CHO,38.1377229,-78.4473594
TOL,41.5937825,-83.8053683
FLO,34.1935642,-79.7261721
BQK,31.2559565,-81.464121
SCE,40.8570741,-77.8420258
LAW,34.5796526,-98.4136366
SPS,33.9636591,-98.4918426
ABI,32.415221,-99.6789831
TYR,32.351997,-95.408255
GGG,32.3871566,-94.7189101
ACT,31.6079783,-97.2170854
SJT,31.3645784,-100.5032331
TXK,33.4575018,-93.9949347
CMI,40.03893,-88.260595
ROW,33.3083,-104.5259
RST,43.917033,-92.4836532
MQT,46.3494569,-87.3838658
LSE,43.8747564,-91.2632431
DBQ,42.3958678,-90.6950145
GFK,47.949353,-97.1724548
DLH,46.8491503,-92.1703032
